cik,name,featured
928400,ELKHORN PARTNERS LIMITED PARTNERSHIP,0
928566,"WASHINGTON CAPITAL MANAGEMENT, INC",0
928568,GUYASUTA INVESTMENT ADVISORS INC,0
932024,SKBA CAPITAL MANAGEMENT LLC,0
932974,LORING WOLCOTT & COOLIDGE FIDUCIARY ADVISORS LLP/MA,0
934745,WEATHERLY ASSET MANAGEMENT L. P.,0
936936,DOHENY ASSET MANAGEMENT /CA,0
936941,MOODY ALDRICH PARTNERS LLC,0
936944,MARTINGALE ASSET MANAGEMENT L P,0
937394,HEARTLAND ADVISORS INC,0
937522,SCHWERIN BOYLE CAPITAL MANAGEMENT INC,0
937589,HERITAGE INVESTORS MANAGEMENT CORP,0
937615,"NISA INVESTMENT ADVISORS, LLC",0
937886,OBERWEIS ASSET MANAGEMENT INC/,0
938077,"DOLIVER ADVISORS, LP",0
938206,DRIEHAUS CAPITAL MANAGEMENT LLC,0
938487,SSI INVESTMENT MANAGEMENT LLC,0
938552,Equinox Partners Investment Management LLC,0
938759,MONARCH CAPITAL MANAGEMENT INC,0
939334,RIT CAPITAL PARTNERS PLC,0
941560,GARDNER LEWIS ASSET MANAGEMENT L P,0
943442,"Orange Investment Advisors, Inc.",0
944388,1832 Asset Management L.P.,0
944733,HUTNER CAPITAL MANAGEMENT INC,0
945631,EAGLE CAPITAL MANAGEMENT LLC,0
947484,ARCH CAPITAL GROUP LTD.,0
947996,"Olstein Capital Management, L.P.",0
949012,BERKSHIRE ASSET MANAGEMENT LLC/PA,0
949509,OAKTREE CAPITAL MANAGEMENT LP,0
949615,KAYNE ANDERSON CAPITAL ADVISORS LP,0
949853,P.A.W. CAPITAL CORP,0
1000097,"KINGDON CAPITAL MANAGEMENT, L.L.C.",0
1000742,SANDLER CAPITAL MANAGEMENT,0
1002152,"COMPASS CAPITAL MANAGEMENT, INC",0
1002784,SHELTON CAPITAL MANAGEMENT,0
1003518,AGF MANAGEMENT LTD,0
1004140,PENNSYLVANIA CAPITAL MANAGEMENT INC /ADV,0
1004244,NEW ENGLAND ASSET MANAGEMENT INC,0
1005186,RHODES INVESTMENT ADVISORS INC /ADV,0
1005441,"Avantax Planning Partners, Inc.",0
1005607,"OSBORNE PARTNERS CAPITAL MANAGEMENT, LLC",0
1006364,Hardman Johnston Global Advisors LLC,0
1007295,BRIDGES INVESTMENT MANAGEMENT INC,0
1007524,OSTERWEIS CAPITAL MANAGEMENT INC,0
1008895,SCHMIDT P J INVESTMENT MANAGEMENT INC,0
1009003,EXCALIBUR MANAGEMENT CORP,0
1009006,"PALISADE CAPITAL MANAGEMENT, LP",0
1009016,FORT WASHINGTON INVESTMENT ADVISORS INC /OH/,0
1009198,STERLING INVESTMENT ADVISORS LLC /ADV,0
1009209,"Sand Hill Global Advisors, LLC",0
1009232,GENEVA CAPITAL MANAGEMENT LLC,0
1009258,"DEERFIELD MANAGEMENT COMPANY, L.P.",0
1009262,"TRAN CAPITAL MANAGEMENT, L.P.",0
1010873,FRANKLIN STREET ADVISORS INC /NC,0
1011443,HBK INVESTMENTS L P,0
1013234,ORLEANS CAPITAL MANAGEMENT CORP/LA,0
1013701,LAWSON KROEKER INVESTMENT MANAGEMENT INC/NE,0
1015079,"BRANDES INVESTMENT PARTNERS, LP",0
1015247,COURIER CAPITAL LLC,0
1015308,WEDGE CAPITAL MANAGEMENT L L P/NC,0
1016287,MATRIX ASSET ADVISORS INC/NY,0
1016972,ARCADIA INVESTMENT MANAGEMENT CORP/MI,0
1018331,"NATIXIS ADVISORS, LLC",0
1018674,PARSONS CAPITAL MANAGEMENT INC/RI,0
1020066,"SANDS CAPITAL MANAGEMENT, LLC",0
1021223,KAYNE ANDERSON RUDNICK INVESTMENT MANAGEMENT LLC,0
1021296,BROOKTREE CAPITAL MANAGEMENT,0
1021642,"VAUGHAN NELSON INVESTMENT MANAGEMENT, L.P.",0
1021926,CIBC Asset Management Inc,0
1026710,"Granahan Investment Management, LLC",0
1027570,ARBOR CAPITAL MANAGEMENT INC /ADV,0
1027694,ALPHA CAPITAL ADVISORS INC /ADV,0
1027796,PZENA INVESTMENT MANAGEMENT LLC,0
1028074,MATTHEWS INTERNATIONAL CAPITAL MANAGEMENT LLC,0
1029311,BANC FUNDS CO LLC,0
1031972,ACADEMY CAPITAL MANAGEMENT,0
1032814,CHECK CAPITAL MANAGEMENT INC/CA,0
1033225,MCDONALD CAPITAL INVESTORS INC/CA,0
1033427,IRIDIAN ASSET MANAGEMENT LLC/CT,0
1033984,CBRE INVESTMENT MANAGEMENT LISTED REAL ASSETS LLC,0
1034524,POLEN CAPITAL MANAGEMENT LLC,0
1034541,TIMUCUAN ASSET MANAGEMENT INC/FL,0
1034549,PARADIGM ASSET MANAGEMENT CO LLC,0
1035350,"SECURIAN ASSET MANAGEMENT, INC",0
1036248,QUEST INVESTMENT MANAGEMENT LLC,0
1037353,"PATHWAY CAPITAL MANAGEMENT, LP",0
1037792,PARADIGM CAPITAL MANAGEMENT INC/NY,0
1039128,"HARBOR CAPITAL ADVISORS, INC.",0
1040188,VICTORY CAPITAL MANAGEMENT INC,0
1040190,"Nippon Life Global Investors Americas, Inc.",0
1040197,MAI Capital Management,0
1040198,P SCHOENFELD ASSET MANAGEMENT LP,0
1040410,"MSA Advisors, LLC",0
1040508,BAIN CAPITAL INVESTORS LLC,0
1040762,MALTESE CAPITAL MANAGEMENT LLC,0
1041283,SPIRIT OF AMERICA MANAGEMENT CORP/NY,0
1041773,DIMENSION CAPITAL MANAGEMENT LLC,0
1042063,WELCH CAPITAL PARTNERS LLC/NY,0
1044797,NEW SOUTH CAPITAL MANAGEMENT INC,0
1044924,SAYBROOK CAPITAL /NC,0
1046187,AEW CAPITAL MANAGEMENT L P,0
1048462,WEXFORD CAPITAL LP,0
1048703,"Karpus Management, Inc.",0
1050068,"INVESTMENT PARTNERS, LTD.",0
1050417,"CONTRARIAN CAPITAL MANAGEMENT, L.L.C.",0
1050463,MORGAN DEMPSEY CAPITAL MANAGEMENT LLC,0
1050464,PECONIC PARTNERS LLC,0
1050470,LSV ASSET MANAGEMENT,0
1050477,SNYDER CAPITAL MANAGEMENT L P,0
1051359,PAR CAPITAL MANAGEMENT INC,0
1053054,LVM CAPITAL MANAGEMENT LTD/MI,0
1053292,DROMS STRAUSS ADVISORS INC /MO/ /ADV,0
1054522,CenturyLink Investment Management Co,0
1055290,APPLETON PARTNERS INC/MA,0
1055951,ORBIMED ADVISORS LLC,0
1055963,Tufton Capital Management,0
1055964,NOMURA ASSET MANAGEMENT CO LTD,0
1055966,MARSICO CAPITAL MANAGEMENT LLC,0
1055980,"Ameritas Investment Partners, Inc.",0
1056516,"Palouse Capital Management, Inc.",0
1056549,"FAIRVIEW CAPITAL INVESTMENT MANAGEMENT, LLC",0
1056559,NORTH STAR ASSET MANAGEMENT INC,0
1056823,HORIZON KINETICS ASSET MANAGEMENT LLC,0
1056825,PRAXIS INVESTMENT MANAGEMENT INC,0
1056831,FAIRHOLME CAPITAL MANAGEMENT LLC,0
1056859,CHILTON CAPITAL MANAGEMENT LLC,0
1056907,GENRE PARTNERS L P,0
1056973,"Carlson Capital, L.P.",0
1058022,SHIKIAR ASSET MANAGEMENT INC,0
1058231,LINCLUDEN MANAGEMENT LTD,0
1058854,CANNELL CAPITAL LLC,0
1059187,TWIN CAPITAL MANAGEMENT INC,0
1061186,"WCM INVESTMENT MANAGEMENT, LLC",0
1063296,"ATLANTIC INVESTMENT MANAGEMENT, INC.",0
1063497,"Pembroke Management, LTD",0
1065349,Capital International Sarl,0
1065350,CAPITAL INTERNATIONAL LTD /CA/,0
1067926,Adelante Capital Management LLC,0
1068804,TOTAL INVESTMENT MANAGEMENT INC,0
1068837,VOYA INVESTMENT MANAGEMENT LLC,0
1068855,"Asset Management One Co., Ltd.",0
1071483,TODD ASSET MANAGEMENT LLC,0
1074034,CANYON CAPITAL ADVISORS LLC,0
1074273,CAPITAL MANAGEMENT CORP /VA,0
1075444,Advanced Asset Management Advisors Inc,0
1076809,"GLAZER CAPITAL, LLC",0
1076964,"Provident Investment Management, Inc.",0
1078013,"GREAT LAKES ADVISORS, LLC",0
1078246,HUTCHINSON CAPITAL MANAGEMENT/CA,0
1078635,WINDWARD CAPITAL MANAGEMENT CO /CA,0
1079112,HOWLAND CAPITAL MANAGEMENT LLC,0
1079397,CHESAPEAKE ASSET MANAGEMENT LLC,0
1079935,SIGNATURE ESTATE & INVESTMENT ADVISORS LLC,0
1080166,AR ASSET MANAGEMENT INC,0
1080171,"ARISTEIA CAPITAL, L.L.C.",0
